gene_id,SRR5986737,SRR5986738,SRR5986739,SRR5986740,SRR5986741
gene-LOC112012156|LOC112012156,62646,29697,28102,19186,3069
gene-LOC112012134|LOC112012134,11201,15608,2302,5289,6812
gene-LOC112012145|LOC112012145,35,2,0,6,0
gene-LOC112012138|LOC112012138,6889,6840,7080,4308,8478
gene-LOC112033802|LOC112033802,2517,3607,1757,5284,1623
gene-LOC112008627|LOC112008627,0,1833,48,149,13
gene-LOC112038648|LOC112038648,8959,14906,8150,11714,2097
gene-LOC112038654|LOC112038654,17,10,145,24,189
gene-LOC112038652|LOC112038652,2540,1794,286,2811,22
gene-LOC112038633|LOC112038633,3569,1601,872,4591,79
gene-LOC112004314|LOC112004314,5257,4105,388,4735,119
gene-LOC112004337|LOC112004337,508,222,4508,748,32
gene-LOC112004442|LOC112004442,139970,93045,156894,59714,34
gene-LOC112004407|LOC112004407,13744,40882,11442,16039,1544
gene-LOC136064676|LOC136064676,477,1356,371,610,80
gene-LOC112004450|LOC112004450,21884,23159,15232,13554,23954
gene-LOC112018091|LOC112018091,359,2629,189,1328,6
gene-LOC112018073|LOC112018073,78,1018,197,451,0
gene-LOC111986391|LOC111986391,687,345,0,512,0
gene-LOC136063436|LOC136063436,641,319,0,456,0
gene-LOC112040635|LOC112040635,300861,70992,76226,31605,144
gene-LOC112008654|LOC112008654,2724,82,422,1026,562
gene-LOC112008653|LOC112008653,613,941,71,1102,98
gene-LOC136061340|LOC136061340,229,3707,1587,527,23
gene-LOC136065326|LOC136065326,4,4,2,35,0
gene-LOC111999124|LOC111999124,108,811,107,790,0
gene-LOC111987475|LOC111987475,89,41,19,93,203
gene-LOC111987467|LOC111987467,1201,981,416,1676,19
gene-LOC111987455|LOC111987455,5609,4144,5624,2675,278
gene-LOC111987487|LOC111987487,20658,51685,9561,14517,1106
gene-LOC136063450|LOC136063450,348323,499107,710216,118180,1000
gene-LOC111987484|LOC111987484,12321,20748,13848,10684,2276
gene-LOC112003653|LOC112003653,1596,2193,495,1695,50
gene-LOC136066320|LOC136066320,57,61,14,93,0
gene-LOC136066685|LOC136066685,23,53,6,66,0
gene-LOC112017857|LOC112017857,646,0,31,19,11
gene-LOC112003651|LOC112003651,9634,11300,13682,9746,615
gene-LOC112017868|LOC112017868,9831,27,271,665,0
gene-LOC112017863|LOC112017863,3455,2574,2483,3430,1128
gene-LOC112017883|LOC112017883,19698,16605,9932,14967,1988
gene-LOC112017832|LOC112017832,3897,8480,3113,2434,512
gene-LOC112017833|LOC112017833,37472,52820,39457,48823,7367
gene-LOC112017885|LOC112017885,460,168,960,330,256
gene-LOC112017876|LOC112017876,2,0,28,5,0
